time 2020-12-08 11:16:35
taskNum  10
comp_threshold  0
taskDisMat  0.0 21.540659228538015 94.03190947758107 22.02271554554524 72.17340230306452 15.033296378372908 65.86349520030045 63.788713735268246 75.95393340703298 51.62363799656123 21.540659228538015 0.0 83.43860018001261 35.510561809129406 52.08646657242167 10.295630140987 66.2872536767062 43.04648650006177 55.14526271584895 65.30696746902278 94.03190947758107 83.43860018001261 0.0 83.21658488546619 56.43580423808985 81.21576201698781 46.389654018972806 63.06346010171025 63.12685640834652 87.0 22.02271554554524 35.510561809129406 83.21658488546619 0.0 75.96051605933177 25.238858928247925 47.4236228055175 69.77105417004964 81.43709228600933 30.364452901377952 72.17340230306452 52.08646657242167 56.43580423808985 75.96051605933177 0.0 57.3149195236284 73.24616030891995 10.295630140987 7.615773105863909 97.65244492586962 15.033296378372908 10.295630140987 81.21576201698781 25.238858928247925 57.3149195236284 0.0 58.82176467941097 49.24428900898052 61.39218191268331 55.036351623268054 65.86349520030045 66.2872536767062 46.389654018972806 47.4236228055175 73.24616030891995 58.82176467941097 0.0 73.40980860893181 80.77747210701756 41.43669871020132 63.788713735268246 43.04648650006177 63.06346010171025 69.77105417004964 10.295630140987 49.24428900898052 73.40980860893181 0.0 12.165525060596439 93.60555539069249 75.95393340703298 55.14526271584895 63.12685640834652 81.43709228600933 7.615773105863909 61.39218191268331 80.77747210701756 12.165525060596439 0.0 104.20172743289815 51.62363799656123 65.30696746902278 87.0 30.364452901377952 97.65244492586962 55.036351623268054 41.43669871020132 93.60555539069249 104.20172743289815 0.0

depot_x  50.0
depot_y  50.0
rob_abi  0.065
rob_vel  1

task_x  10.0 30.0 89.0 11.0 82.0 25.0 43.0 73.0 85.0 2.0
task_y  78.0 86.0 27.0 56.0 83.0 77.0 21.0 88.0 90.0 27.0
task_rate  0.02948270743108968 0.03441088688792993 0.021086167671067052 0.021571177881941878 0.03100316848604913 0.03677475408081039 0.02406545068804729 0.022049176732713092 0.029565093442264385 0.04224566733836338
task_init_demand  2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455
