time 2020-12-08 11:16:35
taskNum  15
comp_threshold  0
taskDisMat  0.0 68.59300255857006 87.80091115700337 97.30878685915265 35.05709628591621 14.035668847618199 56.824290580701486 56.293871780150276 84.38009243891595 67.23094525588644 46.09772228646444 68.26419266350405 28.460498941515414 66.64833081180653 55.362442142665635 68.59300255857006 0.0 22.360679774997898 29.966648127543394 48.76474136094644 58.60034129593445 22.090722034374522 37.656340767525464 24.515301344262525 25.553864678361276 58.137767414994535 58.52349955359813 61.68468205316454 21.095023109728988 32.2490309931942 87.80091115700337 22.360679774997898 0.0 10.295630140987 61.85466837676846 79.25906888173743 32.802438933713454 43.657759905886145 9.219544457292887 44.91102314577124 80.39900496896712 59.033888572581766 75.45197147855052 24.596747752497688 54.0 97.30878685915265 29.966648127543394 10.295630140987 0.0 72.11102550927978 88.20430828479978 43.01162633521314 53.85164807134504 18.24828759089466 49.0 86.68333173107735 68.3593446428504 85.70297544426332 34.88552708502482 59.682493245507096 35.05709628591621 48.76474136094644 61.85466837676846 72.11102550927978 0.0 36.05551275463989 29.154759474226502 22.360679774997898 55.97320787662612 60.67124524847005 62.24146527838174 33.95585369269929 13.601470508735444 37.64306044943742 54.42425929675111 14.035668847618199 58.60034129593445 79.25906888173743 88.20430828479978 36.05551275463989 0.0 50.695167422546305 54.037024344425184 77.07788269017254 54.120236510939236 32.89376840679705 69.92138442565336 34.713109915419565 60.440052945046304 41.78516483155236 56.824290580701486 22.090722034374522 32.802438933713454 43.01162633521314 29.154759474226502 50.695167422546305 0.0 15.811388300841896 27.80287754891569 42.43819034784589 62.6418390534633 37.589892258425 42.720018726587654 9.848857801796104 42.80186911806539 56.293871780150276 37.656340767525464 43.657759905886145 53.85164807134504 22.360679774997898 54.037024344425184 15.811388300841896 0.0 36.235341863986875 57.8013840664737 72.89718787443039 22.20360331117452 35.0 19.4164878389476 56.586217403180434 84.38009243891595 24.515301344262525 9.219544457292887 18.24828759089466 55.97320787662612 77.07788269017254 27.80287754891569 36.235341863986875 0.0 49.39635614091387 82.00609733428362 50.15974481593781 69.52697318307479 18.384776310850235 56.71860364994893 67.23094525588644 25.553864678361276 44.91102314577124 49.0 60.67124524847005 54.120236510939236 42.43819034784589 57.8013840664737 49.39635614091387 0.0 39.81205847478876 79.92496481075234 71.00704190430693 45.27692569068709 13.45362404707371 46.09772228646444 58.137767414994535 80.39900496896712 86.68333173107735 62.24146527838174 32.89376840679705 62.6418390534633 72.89718787443039 82.00609733428362 39.81205847478876 0.0 93.1933474020544 65.45991139621256 70.40596565632774 27.202941017470888 68.26419266350405 58.52349955359813 59.033888572581766 68.3593446428504 33.95585369269929 69.92138442565336 37.589892258425 22.20360331117452 50.15974481593781 79.92496481075234 93.1933474020544 0.0 41.10960958218893 38.07886552931954 78.64477096412705 28.460498941515414 61.68468205316454 75.45197147855052 85.70297544426332 13.601470508735444 34.713109915419565 42.720018726587654 35.0 69.52697318307479 71.00704190430693 65.45991139621256 41.10960958218893 0.0 51.22499389946279 62.96824596572466 66.64833081180653 21.095023109728988 24.596747752497688 34.88552708502482 37.64306044943742 60.440052945046304 9.848857801796104 19.4164878389476 18.384776310850235 45.27692569068709 70.40596565632774 38.07886552931954 51.22499389946279 0.0 48.30113870293329 55.362442142665635 32.2490309931942 54.0 59.682493245507096 54.42425929675111 41.78516483155236 42.80186911806539 56.586217403180434 56.71860364994893 13.45362404707371 27.202941017470888 78.64477096412705 62.96824596572466 48.30113870293329 0.0

depot_x  50.0
depot_y  50.0
rob_abi  0.035
rob_vel  1

task_x  63.0 14.0 10.0 1.0 61.0 49.0 36.0 51.0 19.0 1.0 18.0 69.0 72.0 32.0 10.0
task_y  75.0 27.0 5.0 0.0 40.0 74.0 25.0 20.0 3.0 49.0 85.0 7.0 48.0 16.0 59.0
task_rate  0.16521538633106675 0.13034015588915673 0.101444149788819 0.15369806070689243 0.15249038550304178 0.11289252567500978 0.19333806207298507 0.17807936826157325 0.14325099147188494 0.11901109295161283 0.14996620538645464 0.11303117330716123 0.12792708030847563 0.18171380001725462 0.11919265289829388
task_init_demand  2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455
