time 2020-12-08 11:16:35
taskNum  5
comp_threshold  0
taskDisMat  0.0 16.97056274847714 86.40023148117139 91.8313671900838 89.27485648266257 16.97056274847714 0.0 90.33825324855468 95.29428104561154 91.92388155425118 86.40023148117139 90.33825324855468 0.0 5.830951894845301 7.280109889280518 91.8313671900838 95.29428104561154 5.830951894845301 0.0 5.385164807134504 89.27485648266257 91.92388155425118 7.280109889280518 5.385164807134504 0.0

depot_x  50.0
depot_y  50.0
rob_abi  0.035
rob_vel  1

task_x  16.0 4.0 85.0 88.0 83.0
task_y  68.0 56.0 16.0 11.0 9.0
task_rate  0.13987618526988893 0.09460831137345709 0.12366255188324268 0.07699894837318107 0.07500084772735346
task_init_demand  2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455
